platform,platform_name,title_zh,title_en,title_ja,release_date,release_date_na,release_date_pal,publisher,wiki_url,publisher_wiki_url
FC,Family Computer,迷宫小子,Dungeon Kid,ダンジョンキッド,1990年8月31日,,,クエスト,,
FC,Family Computer,宇宙警备队SDF,Uchuu Keibitai SDF,宇宙警備隊SDF,1990年9月7日,,,HAL研究所,,
FC,Family Computer,SD战国武将传,SD Sengoku Bushou Retsuden,SD戦国武将列伝 烈火のごとく天下を盗れ!,1990年9月8日,,,帕布雷斯特,,
FC,Family Computer,世界拳击赛,World Boxing,ワールドボクシング,1990年9月8日,,,T.S.S.,,
FC,Family Computer,小叮当RPG：大僵尸的反击,Doraemon - Gigazombie no Gyakushuu,ドラえもん ギガゾンビの逆襲,1990年9月14日,,,エポック社,,
FC,Family Computer,爆笑四天王,Bakushou! Star Monomane Shitennou,爆笑スター ものまね四天王,1990年9月14日,,,Pack-In-Video,,
FC,Family Computer,魔导师阴谋/超魔兽大战,Little Magic,リトルマジック,1990年9月14日,,,Data East,https://zh.wikipedia.org/wiki/%E9%AD%94%E5%AF%BC%E5%B8%88%E9%98%B4%E8%B0%8B,
FC,Family Computer,维新之岚,Ishin no Arashi,維新の嵐,1990年9月15日,,,光荣,,
FC,Family Computer,昆虫大战,Insector X,インセクターX,1990年9月20日,,,太东,,
FC,Family Computer,南北战争,North & South,ノース&サウス わくわく南北戦争,1990年9月21日,,,KEMCO,,
FC,Family Computer,田村光昭麻雀研究会,Tamura Koushou Mahjong Seminar,田村光昭の麻雀ゼミナール,1990年9月21日,,,波丽佳音,,
FC,Family Computer,神奇王子,Magic John,マジックジョン,1990年9月28日,,,Jaleco,,
FC,Family Computer,洛克人3 威利博士的末期！？,Rockman 3 - Dr Wily no Saigo!,ロックマン3 Dr.ワイリーの最期!?,1990年9月28日,,,卡普空,https://zh.wikipedia.org/wiki/%E6%B4%9B%E5%85%8B%E4%BA%BA3_%E5%A8%81%E5%88%A9%E5%8D%9A%E5%A3%AB%E7%9A%84%E6%9C%AB%E6%9C%9F%EF%BC%81%EF%BC%9F,
FC,Family Computer,侦探神宫原三郎：过了那时,Tantei Jinguuji Saburou - Toki no Sugiyuku Mama ni,探偵 神宮寺三郎 時の過ぎゆくままに…,1990年9月28日,,,Data East,,
FC,Family Computer,加纳战机,Gun Nac,ガンナック,1990年10月5日,,,トンキンハウス[东京书籍],https://zh.wikipedia.org/wiki/%E5%8A%A0%E7%BA%B3%E6%88%98%E6%9C%BA,
FC,Family Computer,热血行进曲,Downtown - Nekketsu Koushin Kyoku - Soreyuke Dai Undoukai,ダウンタウン熱血行進曲 それいけ大運動会,1990年10月12日,,,Technōs Japan,https://zh.wikipedia.org/wiki/%E7%86%B1%E8%A1%80%E8%A1%8C%E9%80%B2%E6%9B%B2,https://zh.wikipedia.org/wiki/Techn%C5%8Ds_Japan
FC,Family Computer,恶魔城外传 少年德古拉君,Akumajou Special - Boku Dracula Kun,悪魔城すぺしゃる ぼくドラキュラくん,1990年10月19日,,,科乐美,https://zh.wikipedia.org/wiki/%E6%81%B6%E9%AD%94%E5%9F%8E%E5%A4%96%E4%BC%A0_%E5%B0%91%E5%B9%B4%E5%BE%B7%E5%8F%A4%E6%8B%89%E5%90%9B,
FC,Family Computer,血魔的反击,Bloody Warriors - Shan-Go no Gyakushuu,ブラッディ・ウァリアーズ シャンゴーの逆襲,1990年10月19日,,,东映动画,,
FC,Family Computer,麻将战记,Majaventure - Mahjong Senki,まじゃべんちゃー 麻雀戦記,1990年10月19日,,,德间书店,,
FC,Family Computer,浮球大赛,Shufflepuck Cafe,シャッフルパックカフェ,1990年10月21日,,,波丽佳音,,
